Date,market-price,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,trade-volume,blocks-size,avg-block-size,transaction-fees,transaction-fees-usd,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,output-volume,estimated-transaction-volume,estimated-transaction-volume-usd,total-bitcoins,market-cap
2013-09-27,124.65,263.595505617978,7.41666666666667,1302.02028851433,148819199.805093,627503.338496155,976549.2345,11186.349367,0.123470168539326,82.61986498,10485.8384961555,2.80001321481766,12.5626293993224,64406.0,46920.0,24497190.0,46920.0,690114.851606427,179789.23183753,22410727.7485481,11759395.012254901,1464727951.0226715
2013-09-28,126.7,240.564971751412,7.21666666666667,1265.03107577245,148819199.805093,659264.976591389,1507204.195,11208.419563,0.113568237288136,26.08609449,3592.476591389,3.92368678512462,13.8675846990195,56523.0,42580.0,24544378.0,42580.0,533432.699205437,132613.90321462,16802181.5372924,11763849.469921105,1488696327.73607
2013-09-29,126.54,242.241176470588,6.26666666666667,1242.83754812732,148819199.805093,553727.740837207,799892.2404,11228.585656,0.114968147058824,25.84549691,3278.7408372066,2.8123352935406,13.3902677154549,56535.0,41181.0,24586988.0,41181.0,554128.015299712,155597.04836193,19689250.4997186,11768237.5,1489292847.1587303
2013-09-30,127.01,289.300613496932,6.53333333333333,1213.24617793381,148819199.805093,540039.918354236,856731.9839,11247.924636,0.133594134969325,25.75183782,3422.6683542363,2.20198791673,10.8848292488861,67081.0,47156.0,24627737.0,47156.0,826774.036665406,193095.88351167,24525108.1648172,11772370.80078125,1494776618.8902993
2013-10-01,126.25,305.727272727273,6.15,1449.97713948187,148819199.805093,848867.043024613,1455541.3,11269.76703,0.139612898395722,39.13974553,6148.2930246125,2.1496805537168,10.4253963011018,73655.0,57171.0,24675032.0,57171.0,1088077.9361221,312776.674611709,39488055.1697284,11776671.839285724,1487444008.5943441
2013-10-02,127.54,324.418848167539,7.13333333333333,1279.8267608692,148819199.805093,1216619.88756478,957715.7156,11295.903012,0.161979073298429,39.92303312,20932.3875647782,1.19135068196717,11.3562697192695,77728.0,61964.0,24732277.0,61964.0,1187078.86445547,800698.25310201,102121055.20063,11781364.942956349,1501464691.1676586
2013-10-03,103.85,299.251256281407,6.18333333333333,1538.75125006239,148819199.805093,551724.984940021,6292503.0855,11326.777288,0.145292859296482,36.60294587,3916.2349400205,2.08346392558951,8.91705566143586,66403.0,59551.0,24794031.0,59551.0,927030.80085099,254994.11965229,26481139.3258903,11786341.827749139,1241998847.2212198
2013-10-04,117.57,288.555555555556,6.78333333333333,1316.81597361108,148819199.805093,773669.395755304,3061539.2598,11355.701201,0.130150094444444,24.77279491,3585.8957553036,3.67664311342833,11.9904128038451,63208.0,51940.0,24853671.0,51940.0,802173.690720626,178981.20346372,21042820.0912296,11791113.023952097,1374174533.3507984
2013-10-05,121.94,207.666666666667,6.26666666666667,1560.94477770752,148819199.805093,707536.002615697,1617802.368,11379.084625,0.0963550684931507,26.06242489,3332.5026156968,5.47549016733123,14.7461704136157,51842.0,45479.0,24905523.0,45479.0,448746.407095318,105969.12529108,12921875.1379943,11796059.683098592,1435387021.6938577
2013-10-06,121.2,231.659459459459,5.45,1900.66283139384,189281249.281033,569220.746421672,356647.968,11400.138171,0.112910837837838,21.15735044,2610.746421672,4.67838651965704,12.9962041695398,49517.0,42857.0,24950851.0,42857.0,419308.266421638,100388.04601387,12167031.176881,11801137.975543479,1430891075.031703
2013-10-07,122.49,285.557692307692,7.26666666666667,1439.61095645177,189281249.281033,506345.04039156,480937.3866,11421.158735,0.14560025,32.57715142,4136.0403915603,1.98385663168844,10.8695054179882,62040.0,44547.0,24994027.0,44547.0,688597.979949412,208370.2161457,25523267.7756868,11805404.575163396,1444800003.9403596
2013-10-08,123.8,280.623456790123,6.96666666666667,1467.83862226455,189281249.281033,950386.198122309,1447189.812,11443.934365,0.127614802469136,17.2769699,3316.19812230801,3.70973663766088,13.4068699656121,64024.0,45461.0,25038817.0,45461.0,726416.169095616,206936.16521793,25618697.2539798,11809221.725171233,1460657354.1638129
2013-10-09,124.12,282.825842696629,6.51666666666667,1721.88761457957,189281249.281033,568550.879351471,1648226.716,11464.52912,0.132885657303371,30.23001017,3804.8793514704,2.33943573958315,11.048618887881,67064.0,50343.0,25083952.0,50343.0,898551.303982071,195801.69557195,24302906.4543904,11813615.784801137,1466037551.9689867
